dataset,neighbours,accuracy_sk, accuracy_mod,roc_auc_sk,roc_auc_mod
31,3,0.619,0.631,0.5145238095238096,0.5240476190476191
31,7,0.6519999999999999,0.6559999999999999,0.5247619047619048,0.5228571428571429
31,11,0.6639999999999999,0.6689999999999999,0.521904761904762,0.5311904761904762
37,3,0.7004784688995216,0.8111756664388243,0.6662820512820513,0.7816666666666666
37,7,0.73703007518797,0.8177717019822281,0.6907321937321936,0.7842535612535613
37,11,0.7382946001367054,0.8190362269309638,0.6932934472934473,0.7877378917378918
43,3,0.7993982835046686,0.8046123738564557,0.7912894631367082,0.7845188981863602
43,7,0.8011374139394511,0.7991804206356692,0.7928211006295679,0.7773254471876719
43,11,0.7935343770630954,0.8020065075921909,0.7837590671957646,0.7793638319518239
3902,3,0.8518705715635333,0.8634955125177137,0.5555274714052287,0.5787147671568629
3902,7,0.8628389230042514,0.8621398205007086,0.5203788807189543,0.5005642361111111
3902,11,0.8669485120453473,0.8717524799244213,0.5155611723856209,0.49887152777777777
3903,3,0.8662787849093581,0.8713865752082313,0.5683668946301925,0.5462930597771023
3903,7,0.8899395721051772,0.888024661113833,0.5510891590678824,0.5389488348530901
3903,11,0.8931569492079048,0.8899559039686429,0.5334998733535967,0.5068009118541033
3913,3,0.7660014513788098,0.7871552975326561,0.6181121317706684,0.6265177911519375
3913,7,0.7774673439767781,0.8197024673439767,0.6215906451272305,0.673084151620737
3913,11,0.7869375907111757,0.8349419448476052,0.6308980044345899,0.6714697497624327
3917,3,0.7529970661250281,0.7529902956443241,0.558247662623663,0.5430625508823088
3917,7,0.7923583841119386,0.8084698713608667,0.5550972927996302,0.5609215576691529
3917,11,0.8274339878131347,0.8241119386143083,0.5695582173264249,0.5576721248642346
3918,3,0.9053562653562655,0.9197706797706798,0.5755734556705431,0.5536154379600982
3918,7,0.9206715806715806,0.9332923832923834,0.5541102101781713,0.5666615544649526
3918,11,0.926986076986077,0.9296805896805898,0.557503600768164,0.5243725328069988
9910,3,0.7587340425531914,0.7768652482269504,0.7560286493077513,0.7743875354415883
9910,7,0.7555354609929078,0.7739304964539008,0.7515796809586115,0.770028929423737
9910,11,0.7499304964539008,0.7669971631205674,0.7454723445956275,0.763187547208982
9946,3,0.9296992481203008,0.931484962406015,0.9186904761904762,0.921955266955267
9946,7,0.9262218045112782,0.9332706766917293,0.9148520923520923,0.9226082251082252
9946,11,0.9297619047619048,0.9333020050125314,0.9198304473304473,0.9208802308802309
9952,3,0.9021089203806394,0.8608417197234202,0.8719048674492225,0.824264335641279
9952,7,0.9019278428150888,0.8480786609159991,0.8710506580383914,0.80419712359402
9952,11,0.9006298350106112,0.8477048675292668,0.8699408299051932,0.8042872589899149
9957,3,0.8150494159928122,0.8178706199460916,0.8059868875086267,0.8059972394755004
9957,7,0.8140341419586703,0.824492362982929,0.8050258799171843,0.8096187025534851
9957,11,0.8102246181491465,0.8254537286612758,0.806304347826087,0.8193616287094547
9971,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
9971,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
9971,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
9976,3,0.7026923076923077,0.8065384615384616,0.7026923076923077,0.8065384615384616
9976,7,0.7346153846153847,0.8238461538461538,0.7346153846153847,0.8238461538461538
9976,11,0.75,0.8334615384615385,0.75,0.8334615384615385
9978,3,0.9234446484703248,0.9056503065575301,0.533642032762472,0.5620316322731624
9978,7,0.9356727148236906,0.9222417602937971,0.5139398955784845,0.5271704251320781
9978,11,0.9360695278702812,0.9372599670100528,0.5024938614686381,0.5235285253341843
10093,3,1.0,0.9970855812969427,1.0,0.9972151877458175
10093,7,1.0,0.9912461652385487,1.0,0.991304920273859
10093,11,1.0,0.9941658732677456,1.0,0.9942600540098383
10101,3,0.6326306306306307,0.6352792792792793,0.4991916064671482,0.5272273821809426
10101,7,0.6526306306306308,0.6647027027027027,0.5061575507395941,0.508513931888545
10101,11,0.6606486486486487,0.6967567567567569,0.5076195390436876,0.5392328861369109
14952,3,0.9597384075343867,0.9565740960454289,0.9586164836549342,0.9549605148739948
14952,7,0.9598293143937224,0.9467148339374699,0.9586168344883422,0.9451493179604217
14952,11,0.9600103916931915,0.9438236521482984,0.958757861421336,0.942489882626156
